SupportDegrees,ALL,cones,0,0.25,0.5,0.75,1,1.5,2,2.5,3,3.5,4,4.5,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120
483848L,TEMPORAL,Cones/sq mm,81844.1,77563,71638.7,68246.3,66531.4,55275.9,43994.5,39837.3,37158.8,32156.8,24954.6,20097.6,18867.2,11883,9681.22,8046.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59784L,INFERIOR,Cones/sq mm,120000,93178.7,62560.7,48353.7,45640.6,38178.8,26329.6,24731.7,23133.9,21536,19938.1,18340.2,16497.9,11986.3,8368.47,6460.08,5890,5319.91,4749.82,4179.74,3618.23,3435.69,3265.91,3220.21,3275.76,3416.04,3578.35,3767.84,3957.34,nan,nan,nan,nan,nan,nan,nan
59784L,NASAL,Cones/sq mm,120000,90682.5,79160.5,69811.3,63133,48121.6,38919.5,36250.4,33581.2,30912,28242.8,25573.7,22904.5,14034.5,,,7077.94,6747.93,6417.91,6088.87,5896.92,5704.97,5513.02,5321.08,5232.55,5146.9,5061.25,4975.61,4996.95,5018.37,5039.78,5061.2,5351.57,5638.26,5511.2,nan
59784L,SUPERIOR,Cones/sq mm,120000,87433.1,70078.6,63274.2,54115.4,39245.7,30791.6,28418,26375.5,24164.3,21953.1,19741.8,17252.5,11768.6,8855.56,7321.69,6725.48,6129.26,5533.05,4936.83,4703.46,4526.62,4216.86,3889.5,3790.49,3691.48,3514.76,3324.62,3134.36,2944.09,nan,nan,nan,nan,nan,nan
59784L,TEMPORAL,Cones/sq mm,120000,90961.6,91585.8,80070,67332.9,50171.7,41776.3,34603.8,31946.2,29671.7,27397.2,25122.7,22848.2,13591.4,10538.9,7535.25,6831.66,6258.05,5684.45,5110.85,4753.68,4412.32,4070.96,3729.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6884R,INFERIOR,Cones/sq mm,310981,184690,109731,81385.7,66937.3,45992.8,33992.4,24703.2,22479.6,21088.5,19697.5,18306.4,16915.4,9740,6976.92,5380.78,4732.29,4409.92,4275.3,4140.69,4006.07,3696.49,3432.42,3253.54,3416,3664.56,3641.93,3502.46,3762.99,4755.18,5747.38,nan,nan,nan,nan,nan
6884R,NASAL,Cones/sq mm,310981,214954,134531,105498,82233.2,53720.4,38575.9,32496.2,30839,28674.4,24898.6,23503.2,21965.4,11422.5,7728.53,,6015.98,5427.06,5409.39,5691.8,5916.1,5453.75,4991.41,4701.56,4706.19,4710.82,4686.18,4464.02,4241.87,4061.51,4107.21,nan,nan,nan,nan,nan
6884R,SUPERIOR,Cones/sq mm,310981,171615,107356,80020.3,68538.6,52715.2,38077,26313.4,23934.6,22262.5,20590.3,18918.2,17246,8214.15,4755.44,4212.91,4215.42,4519.07,4612.15,4371.88,4060.7,3890.51,3855.51,3820.5,3794.42,3792.96,3791.51,3528.46,nan,nan,nan,nan,nan,nan,nan,nan
6884R,TEMPORAL,Cones/sq mm,310981,219567,137919,109326,89312.4,61052,44331.1,35551.2,31161.2,24487.8,19550.8,18113.1,17241,11002.5,8280.64,6578.11,5337.93,4883.33,4621.54,4461.09,4295.06,4063.01,3830.95,3638.16,3783.19,3928.22,3987.06,3469.87,2952.68,nan,nan,nan,nan,nan,nan,nan
9387L,INFERIOR,cones/sq mm,324148,238160,166286,132397,97689,65028.8,56930.1,48831.4,39759.7,30438.8,26237.3,21268.4,17622.3,11423.3,6904.47,6438.24,5972.01,5505.78,5039.55,4564.37,4268.9,4152.47,4046.7,3940.93,3804.16,3642.02,3479.87,3301.59,3037.47,2677.62,nan,nan,nan,nan,nan,nan
9387L,NASAL,cones/sq mm,324148,262868,178919,135281,92404.6,55344.1,51012.4,42616.8,33304.1,23991.3,21931.5,20401.2,19099.1,12052.7,7420.89,,6281.86,6491.48,6944.19,6663.77,5889.95,5133.15,5000.83,4868.5,4736.18,4603.86,4466.35,4470.05,4618.85,4767.64,4916.43,5065.23,5193.15,nan,nan,nan
9387L,SUPERIOR,cones/sq mm,324148,229905,152717,118471,80312.9,44538,36145.9,25755.6,22105.8,18417.2,16598.4,15399.1,13849.8,8768.9,7085.35,5794.9,5519.29,5243.68,4995.82,4783.56,4853.27,4818.81,4625.54,4477.45,4532.9,4588.36,4508.3,4378.48,4177.49,3976.5,3775.51,3708.45,3758.41,nan,nan,nan
9387L,TEMPORAL,cones/sq mm,324148,301414,213821,163931,113585,67221.4,57231.9,45230.5,38767.1,31141.5,23515.9,22255.5,21296.6,12268.5,9316.7,6764,5767.76,5405.87,5229.63,4890.1,4364.59,3849.73,3724.48,3586.27,3447.79,3309.31,3170.83,3040.32,2928.45,2816.58,nan,nan,nan,nan,nan,nan
E8746R,INFERIOR,Cones/sq mm,181146,147280,119330,99902.5,75313.9,53513.2,40393.9,30070.5,27055.6,24454.8,21479.7,18044.4,16390.1,9517.5,7410.04,5694.32,5322.81,4845.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
E8746R,NASAL,Cones/sq mm,181146,123940,96552.9,83813.6,68633.1,53615.4,42401.7,33979.5,28598.8,24146.7,23169.4,22192.1,21214.9,11033.5,7382.67,,6163.62,6426.11,6163.34,5813.15,5362.84,4957.4,4546.14,4352.27,4079.83,4016.1,4121.96,4196.4,4270.85,4345.29,4421.39,4528.59,4635.78,4742.98,nan,nan
E8746R,SUPERIOR,Cones/sq mm,181146,140439,109988,86244.2,65466.7,45776.4,33984.4,25458.1,22966.3,20587.9,17996.4,15144.1,13608.5,9461.7,7409.92,5886.92,5030.52,4390.69,3895.65,3811.65,3593.34,3358.28,3091.79,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
E8746R,TEMPORAL,Cones/sq mm,181146,159407,115077,95139.9,75509.6,59081.8,48072.7,39182.4,35779.6,32396.7,28137.1,22803.3,20632.4,11047.5,8629.06,6519.4,5385.5,4602.72,4362.31,4149.49,3912.07,3350.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
